C1(C)(C)SC(C(=O)O)=C(C(=O)O)S1	"2,2-dimethyl-4,5-dicarboxy-dithiole"
c([OH])c([OH])c([OH])	"2,3,4_trihydroxyphenyl"
c([OH])c([OH])cc([OH])	"2,3,5_trihydroxyphenyl"
C(=O)OC(=O)	acid_anhydrides
"[S,C](=[O,S])[F,Br,Cl,I]"	acid_halides
c1c2cc4ccccc4nc2ccc1	Acridine
"P(=S)([OH1,O$(O[#6])])([OH1,O$(O[#6])])[S,O]"	Active_Phosphate
C(=O)-C#N	acyl_cyanide
[*;R]=[*;R]=[*;R]	Adjacent_Ring_Double_Bonds
[#6][C!H0]=O	Aldehyde
COS(=O)(=O)C(F)(F)F	Aliphatic_Triflate
"[C;H1$(C([#6;!$(C=O)])),H0$(C([#6;!$(C=O)])[#6;!$(C=O)])]=[CH1]!@N([#6;!$(C(=O))])[#6;!$(C(=O))]"	AlkylEnamine
*=C=*	Allene
"[C;!$(C[N])](=O)!@[C;h1,h2;H1,H2][F,Cl,Br,I]"	Alpha_Halo_Carbonyl
c1nnnn1C=O	amidotetrazole
c1(N)ccc(C(=O)NC3(=O))c(c3ccc2)c21	Amino_Naphtalimide
NC#N	Aminonitrile
[#6]C(=O)OC(=O)[#6]	Anhydride
O=*N=[N+]=[N-]	Any_Carbazide
cN=N=N	aromatic_azides
N=[N+]([O-])C	Azanitrone
[N;R0]=[N;R0]CC=O	azoalkanals
c1ccccc1[N!r]=[N!r]c2ccccc2	Azobenzene
[N;R0]=[N;R0]C#N	Azocyanamide
"C(=O)CC[N+,n+]"	b-Carbonyl_Quaternary_Nitrogen
"cC[N+,NX4]"	benzylic_quaternary_nitrogen
"C(=O)C[N+,n+,NX4,nX4]"	beta-carbonyl_quaternary_nitrogen
"[C;H2$(CF),H1$(C(F)F)]!@[CH2][N,O]"	Beta-Fluoro-ethyl-ON
C12C(NC(N1)=O)CSC2	biotin_analogue
C(=O)N=N=N	carbazides
N=C=N	carbodiimides
"C(Cl)(Cl)(Cl)C([O,S])[NX3]"	CCl3-CHO_releasing
[Cl]C([C&R0])=N	Chloramidine
SC(=[!r])S	Conjugated_Dithioether
O1CCOCCOCCOCC1	Crown_Ether_12CRO4
O1CCOCCOCCOCCOCC1	Crown_Ether_15CRO5
O1CCOCCOCCOCCOCCOCC1	Crown_Ether_16CRO6
[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1]	crown_ethers
N[CH2]C#N	cyanamide
P(OCC)(OCC)(=O)C#N	Cyanophosphonate
N#CC[OH1]	Cyanohydrin
P(=O)([OH])OP(=O)[OH]	di_and_triphosphates
C#CC#C	Diacetylene
C=[N+]=[N-]	Diazoalkane
[N+]#N	Diazonium_Salt
C!@=[CH1]-C!@=[CH1]-[CX3](=O)	Diene
c1c([N+](=O)[O-])c([N+](=O)[O-])ccc1	Dinitrobenzene_1
c1c([N+](=O)[O-])ccc([N+](=O)[O-])c1	Dinitrobenzene_2
c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1	Dinitrobenzene_3
[SX2][SX2]	disulfides
NC(=S)S	Dithiocarbamate
S1SC=CC1=S	Dithiole-2-thione
S1C=CSC1=C	Dithiole-3-thione
S[C;!$(C=*)]S	Dithiomethylene_acetal
C=!@CC#C	Enyne
"C1[O,S,N]C1"	"epoxides,_thioepoxides,_aziridines"
C(=O)Onnn	ester_of_HOBT
"c1cccc(NC(=NC(=[N,S,O])NC(=O)3)C3=N2)c12"	Flavin
c1cc(O)cc(OC(=CC(=O)C=C3)C3=C2)c12	Fluorescein
C(C(CF)F)F	Fluorinated_Carbon_1
C(C(F)F)(F)F	Fluorinated_Carbon_2
C1(=O)OCC1	four_member_lactones
[NH1;!r][CX4][NH1;!r]	geminal_amines
N#CCC#N	geminal_dinitriles
"[Cl,Br,I]c1[c,n][c,n][c,n][c,n]n1"	"halo-pyridine,_-diazoles_and_-triazoles"
N=NC(S)N	hydrazothiourea
c1[n+]([#6])ccn1([#6])	Imidazolium
"[#6,#8,#16]-[CH1]=[NH1]"	Imine2
"[#6][C;R0](=[N;R0,O0])[#6]"	imines_(not_ring)
"N=C=[S,O]"	isocyanates_&_isothiocyanates
[N+]#[C-]	isonitrile
C=C=O	ketene
P(=S)(S)S	Lawesson_Reagent_Derivatives
S1C=CSC1=S	"methylidene-1,3-dithiole"
c1ccccc1C(=O)C=!@CC(=O)!@*	Michael_Phenyl_Ketone
"[NX3,NX4][F,Cl,Br,I]"	N-halo
"c1ccc(n[o,s]n2)c2c1[N+](=O)[O-]"	Nitrobenz-azadiazole_1
"c1c([N+](=O)[O-])cc(n[o,s]n2)c2c1"	Nitrobenz-azadiazole_2
N-[N;X2](=O)	nitrosamine
